"","day_of_year","et","rain"
"1",1,0.903056151184605,0
"2",2,0.776217744179239,0
"3",3,0.975197716621104,0.254
"4",4,0.547486785540314,0.254
"5",5,0.32064176231519,0
"6",6,0.260675158631335,0
"7",7,0.315384506046435,0.762
"8",8,0.488206639159767,3.302
"9",9,0.751376112719312,3.302
"10",10,0.915234089563694,0
"11",11,0.776563014187354,1.27
"12",12,0.973997333300492,1.524
"13",13,0.965616524328967,0
"14",14,0.988639038026131,0.254
"15",15,1.0310287676803,0.254
"16",16,1.11831751547949,0
"17",17,1.28672448927464,0.254
"18",18,1.22061393360415,0.254
"19",19,1.21099033950784,0
"20",20,0.850345904184558,0.254
"21",21,0.854407290789956,0.254
"22",22,0.911732231669724,0
"23",23,1.11515348441642,0
"24",24,0.949292794603574,0
"25",25,0.888077720598521,0
"26",26,0.992360813629018,0
"27",27,1.00171012697574,0.762
"28",28,0.679346646583914,0.254
"29",29,1.02037214875739,3.302
"30",30,1.23792138960388,0
"31",31,0.976243517461834,0.254
"32",32,1.88216167225713,0
"33",33,2.31769795995204,0
"34",34,2.1479675954556,0
"35",35,1.97255202583598,0
"36",36,2.50357241260986,0
"37",37,1.68914272072723,3.81
"38",38,1.26443892930081,4.572
"39",39,1.75080801447062,18.542
"40",40,1.51714358848868,0.508
"41",41,1.96325358512306,0.508
"42",42,2.15657164004348,0
"43",43,2.50521107285823,16.256
"44",44,1.57903422480994,10.922
"45",45,1.62606839655424,5.08
"46",46,1.72826086697574,9.652
"47",47,1.00215694901453,9.652
"48",48,1.8872763249758,0.254
"49",49,1.80867589419484,9.144
"50",50,1.43080485603663,10.16
"51",51,1.59879131279422,0
"52",52,1.84424605553235,0.254
"53",53,1.72009183710091,0.254
"54",54,3.02893226447881,0
"55",55,1.93339324471219,0
"56",56,1.62488537156005,0
"57",57,3.23673022952802,1.016
"58",58,3.33515338812935,3.81
"59",59,3.45414037210728,0
"60",60,3.34025727498141,0.254
"61",61,3.16127740641913,0.254
"62",62,3.03338373927557,6.604
"63",63,1.69068664448999,0.508
"64",64,1.91220985749566,10.414
"65",65,1.58632675375116,21.59
"66",66,1.53409863536774,0
"67",67,1.81816606147396,3.302
"68",68,1.90561174258971,12.192
"69",69,1.92080230938886,13.97
"70",70,1.44614530268452,0
"71",71,1.58848663128375,0
"72",72,1.47543620135755,0.254
"73",73,1.78129075733906,0
"74",74,1.98142322819673,0
"75",75,1.4717416258454,0
"76",76,1.81892925388132,1.016
"77",77,2.1495659564323,0
"78",78,1.30537163106954,0
"79",79,1.46663384119273,0
"80",80,1.95942024462286,0
"81",81,1.02725856340828,0
"82",82,1.87267282591122,0
"83",83,2.16972068206076,0
"84",84,2.03892908966212,0.762
"85",85,2.28703888991072,0.254
"86",86,1.54459595240011,0.254
"87",87,2.25243296651824,11.176
"88",88,2.29616573740495,0.254
"89",89,3.42571944262136,0.254
"90",90,2.52319682216797,0.254
"91",91,2.4235154668543,0.254
"92",92,2.37345803584333,0
"93",93,1.67401825342641,1.016
"94",94,2.443044183684,0.508
"95",95,1.67355927237063,0.508
"96",96,1.59429266584122,0
"97",97,1.70411786320903,0
"98",98,1.45138441296347,0
"99",99,1.62203941573757,0
"100",100,2.02978709150633,0
"101",101,2.05272164462852,0
"102",102,2.21024766242846,0
"103",103,1.60010153741085,0
"104",104,1.02161778236217,0
"105",105,2.19069362377117,0
"106",106,2.59203060792039,0
"107",107,2.84870985798247,0.254
"108",108,1.84222415079738,0.254
"109",109,1.75456356530285,0
"110",110,1.91928288338896,0
"111",111,1.90441757813247,0.762
"112",112,1.78273937976443,1.27
"113",113,2.23300769875677,0.254
"114",114,1.82964598707429,0.508
"115",115,1.3510407901818,0.508
"116",116,1.49771937879739,0.762
"117",117,1.55450370978745,0.762
"118",118,2.23133133324309,0
"119",119,3.16858409596261,0
"120",120,2.76251175191719,0
"121",121,2.94641033530816,0
"122",122,2.07263190197607,0
"123",123,2.27189159329166,0
"124",124,2.30552113370096,0
"125",125,2.4120572408853,2.794
"126",126,2.48890610870114,0
"127",127,2.43842133473897,0
"128",128,1.91652450317579,2.032
"129",129,2.47861779743477,2.286
"130",130,2.63600156032513,0
"131",131,2.92384207638773,0
"132",132,2.94925733658545,0
"133",133,3.11442309441611,0
"134",134,2.40624837298251,0
"135",135,2.50848237583816,0
"136",136,2.96735665940163,0
"137",137,3.10449021599782,0
"138",138,3.40373159088855,0
"139",139,4.03762391908333,22.606
"140",140,4.36631204825365,22.86
"141",141,4.5243906871601,0
"142",142,2.87180014277457,0
"143",143,2.79233662985874,0
"144",144,2.9095110312107,0
"145",145,2.3066346741931,0
"146",146,2.39060593237224,0
"147",147,2.66712469213319,0
"148",148,1.58467727290038,0
"149",149,2.31382307163287,0
"150",150,2.2122979405509,0
"151",151,2.55466783200185,0
"152",152,3.41449716012793,0
"153",153,3.07614941361156,0
"154",154,3.52456056068574,0
"155",155,4.0380700967958,0
"156",156,4.49995709617209,0
"157",157,4.01346874441229,0
"158",158,4.84150957081207,0
"159",159,5.10906908514749,0
"160",160,2.85438172222266,0
"161",161,3.52813344887588,0
"162",162,4.32628017356308,0
"163",163,3.1841020498215,0
"164",164,4.28051975427814,0
"165",165,4.22369702258377,0
"166",166,4.23979568851894,0
"167",167,4.75682715522715,0
"168",168,5.30559159243325,0
"169",169,2.55469187542497,0
"170",170,2.4517214583864,0
"171",171,2.85117058718274,0
"172",172,2.88536995083043,0
"173",173,3.03084325557252,0
"174",174,2.98431461435743,0
"175",175,2.81145250453673,0
"176",176,2.39870151928068,0
"177",177,2.89385066073417,0
"178",178,2.89705923137725,0
"179",179,2.91163659659686,0
"180",180,3.34971163424445,0
"181",181,3.92876557250219,0
"182",182,1.77169821342761,0
"183",183,2.91738655860119,0
"184",184,5.57160204531217,0
"185",185,5.84058678083324,0
"186",186,5.50741216551135,0
"187",187,5.0374486460523,0
"188",188,5.60203018328539,0
"189",189,4.89607650475859,0
"190",190,4.62222035426795,2.286
"191",191,4.34490165360785,0.254
"192",192,4.35845593160644,2.286
"193",193,4.62314577510692,0
"194",194,3.67823110293389,0
"195",195,5.12104470255106,0
"196",196,4.13200298761143,0
"197",197,3.15056802294464,0
"198",198,3.58841542956688,0
"199",199,3.29755728535589,0
"200",200,2.74132006598272,0
"201",201,3.19869260456304,0
"202",202,3.24335647081108,1.016
"203",203,4.40575835357126,0.254
"204",204,5.65729543545839,0.254
"205",205,2.78799603412549,0
"206",206,6.13821561972781,0
"207",207,2.57608897985199,0
"208",208,3.44856816309089,0
"209",209,4.39495299415459,0
"210",210,5.13680397882812,0
"211",211,5.34421921746489,0
"212",212,5.0422514461315,0
"213",213,6.36347529318282,0
"214",214,3.216946689115,0
"215",215,4.55327707379117,0
"216",216,5.32351679984927,0
"217",217,5.94840208246688,0
"218",218,6.41338334972783,0
"219",219,5.92887322673418,0
"220",220,5.30782372321566,0
"221",221,5.13076278212435,0
"222",222,3.71242180913145,0
"223",223,3.40115964764319,0
"224",224,5.53201864164438,0
"225",225,4.14443296997826,0
"226",226,5.14536850337589,0
"227",227,5.38042894814013,0
"228",228,4.45953856996846,0
"229",229,5.24462817283698,19.304
"230",230,5.25217293966451,19.558
"231",231,4.8388111534059,0
"232",232,4.46281402366782,0
"233",233,3.71945684826938,0
"234",234,4.6028756200555,0
"235",235,4.03324927936674,0
"236",236,5.24334423128128,0
"237",237,4.9433349037738,0
"238",238,3.06737302340332,0
"239",239,2.64215942431418,0
"240",240,3.36879444014968,0
"241",241,3.90250832989222,0
"242",242,2.79505343374658,0
"243",243,2.60322578056065,0
"244",244,5.21557077284,0
"245",245,5.27146416368812,0
"246",246,5.56922157600304,0
"247",247,4.24656223193994,0
"248",248,3.66586707988288,0
"249",249,4.29757323822836,0
"250",250,3.9549110605369,0
"251",251,3.56303701994365,0
"252",252,3.74687592782502,0
"253",253,4.55773336153656,0
"254",254,5.17259768277249,0
"255",255,4.52391005467769,0
"256",256,4.57712244499351,0
"257",257,4.61447638548206,0
"258",258,4.80285147202677,0
"259",259,4.69635803106128,0
"260",260,4.16229194557269,4.572
"261",261,2.54700713807293,4.826
"262",262,2.67692725126867,0
"263",263,3.45665974373402,0
"264",264,4.30242690694871,0
"265",265,4.53401038536039,0
"266",266,4.14026243232495,0
"267",267,5.12522674822314,27.686
"268",268,4.38824024659339,32.004
"269",269,4.58416865787104,0.254
"270",270,4.38161966519329,0.508
"271",271,4.18184226526773,0
"272",272,4.27140545705059,0
"273",273,4.28520955612731,0
"274",274,5.26746910858012,0
"275",275,4.64235228034491,0
"276",276,3.30595973354641,0
"277",277,4.57576660857772,0
"278",278,4.30053018285346,0
"279",279,4.62686630361995,0
"280",280,4.64229101487975,0
"281",281,4.11780881784125,0
"282",282,3.82605256086912,0
"283",283,4.26225006776518,0
"284",284,4.3009236845531,0
"285",285,4.06062629848571,0
"286",286,3.90610254096075,0
"287",287,3.39273408502408,4.826
"288",288,2.94121669639211,20.828
"289",289,2.63882009308285,0
"290",290,3.183169502453,0.508
"291",291,3.6184507846055,0.508
"292",292,3.91681710506814,0
"293",293,3.35404860647771,2.286
"294",294,3.95547409970002,2.286
"295",295,3.78858005055517,8.89
"296",296,3.60235613337363,1.016
"297",297,3.635718872655,6.35
"298",298,3.43628784917178,1.016
"299",299,3.48457439876288,1.016
"300",300,3.63655029190358,0
"301",301,3.56898409110076,0.254
"302",302,3.78065256818094,0.254
"303",303,2.46177176681709,0.254
"304",304,3.08185500920182,6.35
"305",305,3.44032248317178,0.508
"306",306,3.14843848146557,0
"307",307,3.14819871753407,0
"308",308,2.52460986978983,0
"309",309,1.7619727383349,0.254
"310",310,2.38547566654999,0.254
"311",311,2.6757247295267,0
"312",312,2.74548731599613,0.254
"313",313,2.78723341445408,0.254
"314",314,2.30403207461244,0.254
"315",315,2.63738958187271,0.254
"316",316,2.82181224215952,2.54
"317",317,2.29149544309877,7.62
"318",318,2.32088074730004,0.254
"319",319,2.13693660218704,0.254
"320",320,2.33919603111805,0
"321",321,2.3969215135163,0
"322",322,2.30517983023963,0.254
"323",323,2.48713441561221,0.254
"324",324,2.53854098428285,1.27
"325",325,2.54999680921662,13.97
"326",326,2.40731015082404,24.384
"327",327,2.35289040594085,0.254
"328",328,1.7613636908394,0
"329",329,1.81544247801742,0.254
"330",330,2.25154288252469,0.254
"331",331,1.78054952614013,0.254
"332",332,2.20971191502277,12.7
"333",333,2.30094131292485,0.254
"334",334,2.10939467598329,0.508
"335",335,2.31201714042283,0.254
"336",336,2.19345643118083,1.016
"337",337,2.22961637593619,0.254
"338",338,2.23936503965929,1.778
"339",339,2.29230961579774,4.064
"340",340,2.25959864748147,5.588
"341",341,2.22333427335217,3.302
"342",342,2.12271877627568,5.08
"343",343,2.04985378209019,0.508
"344",344,1.76997721730552,21.844
"345",345,1.48643592325713,0.254
"346",346,1.89769688210139,0.254
"347",347,2.23774137050715,1.27
"348",348,2.16963827383465,0.508
"349",349,1.90872197285733,0.254
"350",350,1.89365347018286,0
"351",351,1.66325425127946,0.508
"352",352,1.16751705830102,2.286
"353",353,1.08841970874694,1.27
"354",354,1.2679108320538,2.54
"355",355,1.44584939397704,3.556
"356",356,1.22868247107846,0
"357",357,1.63495560247391,0.254
"358",358,1.83326605523227,10.668
"359",359,1.30806445112154,0
"360",360,1.97206265230599,0
"361",361,2.14794751893819,0.254
"362",362,2.20757801769104,0
"363",363,2.13953235408659,0.254
"364",364,2.04587527505438,0
"365",365,1.91943107997636,0
